DateTime,AddedIPs,RemovedIPs
1535214902,0,1
1535215202,1,0
1535220602,0,1
1535220902,1,0
1535267102,0,1
1535268002,1,0
1535279402,0,1
1535280002,1,0
1535286602,0,1
1535287202,1,0
1535293502,0,1
1535295001,1,0
1535308501,0,1
1535308802,1,0
1535350202,0,1
1535350802,1,0
1535374201,0,1
1535374502,1,0
1535404202,0,1
1535404501,1,0
1535409002,0,1
1535409302,1,0
1535525102,0,1
1535526002,1,0
1535553901,0,1
1535554501,1,0
1535568302,0,1
1535569202,1,0
1535596802,0,1
1535597702,1,0
1535627702,1,1
1535658902,0,1
1535659502,1,0
1535663702,0,1
1535664002,1,0
1535669102,0,1
1535669402,1,0
1535673302,0,1
1535673902,1,0
1535703301,0,1
1535703602,1,0
1535712602,0,1
1535713202,1,0
1535727902,0,1
1535728202,1,0
1535736302,0,1
1535736602,1,0
1535770802,0,1
1535771102,1,0
1535778002,0,1
1535778302,1,0
1535821202,0,1
1535821802,1,0
1535883302,0,1
1535883602,1,0
1535919002,0,1
1535920201,1,0
1535959502,0,1
1535960102,1,0
1536050702,0,1
1536051902,1,0
1536120002,2,0
1536120302,8,0
1536120602,2,0
1536122401,1,0
1536129302,0,2
1536129902,0,1
1536130802,0,1
1536131403,0,1
1536131701,0,1
1536132002,0,7
1536186302,1,1
1536190202,1,1
1536196502,1,0
1536196802,3,0
1536197102,7,0
1536197701,1,0
1536198901,1,0
1536215102,0,1
1536216902,0,2
1536217202,0,4
1536217502,0,5
1536218101,0,1
1536545102,0,1
1536545702,1,0
1536552302,0,1
1536552602,1,0
1536557701,0,1
1536558002,1,0
1536598502,0,1
1536599102,1,0
1536603902,0,1
1536604202,1,0
1536664802,0,1
1536760502,1,0
1536880202,0,1
1536881402,1,0
1536943802,0,1
1536944102,1,0
1537003802,1,1
1537004402,0,1
1537004702,2,1
1537021802,0,1
1537022402,1,0
1537332602,1,1
1537333202,1,0
1537594201,1,1
1537595103,1,1
1537774502,0,1
1537775102,1,0
1537778702,0,1
1537947602,1,0
1537947902,0,1
1537948202,1,0
1537952402,0,1
1537953002,1,0
1538049902,1,1
1538051402,1,1
1538144702,1,1
1538206802,1,1
1538208302,1,0
1538646302,1,1
1538647202,1,1
1538771102,1,1
1538772001,1,0
1539041401,1,1
1539352202,0,1
1539352502,1,0
1539389102,0,1
1539588602,1,1
1539589202,1,1
1539604802,1,1
1539835802,2,0
1539836402,9,0
1539836702,1,0
1539837903,1,0
1539840902,0,1
1539841503,0,2
1539842102,0,9
1539842402,0,1
1539939002,1,1
1539939902,1,0
1539994202,0,1
1540180201,1,1
1540180802,1,1
1540491902,1,1
1540620002,1,1
1540620902,1,0
1540857602,0,1
1540934402,1,1
1541228403,1,1
1541229002,1,1
1541376302,0,1
1542091502,1,1
1542092102,1,0
1542357902,1,1
1542358802,1,0
1542585602,0,1
1542873302,1,1
1542874202,1,0
1543276802,0,1
1544173502,0,1
1544173802,1,0
1544403602,1,1
1544404202,1,0
1544745603,0,1
1545004802,0,1
1545160202,0,1
1545160802,1,0
1545253203,1,1
1545253802,1,0
1545288303,1,1
1545288902,1,0
1545361802,1,1
1545362702,1,0
1545412802,0,1
1545413402,1,0
1545523202,0,1
1545984002,0,1
1545984302,1,0
1547079002,0,1
1547856003,0,1
1547942402,0,1
1548029102,0,1
1548062702,1,1
1548063602,1,0
1548297002,1,1
1548297902,1,0
1549003202,1,1
1549004102,1,0
1549044902,0,1
1549045502,1,0
1549184703,0,1
1549185002,1,0
1550280302,1,1
1550281202,1,0
1550707203,0,1
1550966402,0,1
1551206403,1,1
1551207302,1,1
1551227102,1,1
1551228303,1,1
1551230702,1,1
1551231603,1,1
1551265802,1,1
1551266702,1,0
1551273002,1,1
1551273902,1,0
1551302702,1,1
1551303902,1,0
1551329102,1,1
1551330002,1,0
1551338702,1,1
1551339902,1,1
1551342602,1,1
1551343502,1,0
1551365702,1,1
1551366602,1,0
1551446702,1,1
1551447602,1,1
1551454202,1,1
1551454802,1,1
1551487502,1,1
1551488102,1,0
1551492002,1,1
1551492902,1,0
1551525001,1,1
1551525902,1,1
1551572702,1,1
1551573602,1,0
1551606302,0,1
1551606902,1,0
1551657902,0,1
1551683102,1,1
1551684302,1,0
1551716701,1,1
1551717602,1,0
1551810302,0,1
1551811202,1,0
1551822002,1,1
1551822902,1,1
1551920103,1,1
1551920702,1,0
1551925502,1,1
1551926702,1,1
1552004702,1,1
1552006202,1,1
1552042503,1,1
1552043702,1,0
1552139102,1,1
1552139702,1,0
1552175702,1,1
1552176602,1,0
1552190102,1,1
1552190702,1,0
1552193703,1,1
1552194302,1,0
1552300801,1,1
1552301702,1,1
1552325102,1,1
1552326002,1,1
1552329302,1,1
1552329602,1,0
1552345202,1,1
1552345502,1,0
1552374003,1,1
1552374602,1,0
1552422302,1,1
1552423502,1,0
1552519502,0,1
1552520402,1,0
1552555802,1,1
1552556402,1,1
1552751703,1,1
1552752301,1,1
1552837202,1,1
1552838402,1,1
1552948202,1,1
1552948802,1,0
1552953902,0,1
1553029502,1,0
1553088302,1,1
1553089502,1,1
1553095502,1,1
1553096702,1,1
1553132402,1,1
1553133302,1,1
1553249402,1,1
1553250302,1,0
1553299802,1,1
1553300702,1,0
1553374202,0,1
1553374502,1,0
1553374802,0,1
1553375402,1,0
1553403302,1,1
1553404202,1,0
1553432102,1,1
1553433002,1,1
1553435702,1,1
1553436602,1,1
1553495102,0,1
1553496302,1,0
1553546702,1,1
1553547602,1,1
1553636703,1,1
1553637902,1,1
1553646302,0,1
1553647502,1,0
1553649002,0,1
1553649302,1,0
1553659203,1,1
1553660103,1,0
1553681103,1,1
1553682302,1,1
1553748002,1,1
1553749202,1,0
1553793302,0,1
1553793602,1,0
1553833802,0,1
1553834402,1,0
1553852702,1,1
1553853302,1,1
1553874302,1,1
1553874602,0,1
1553874902,1,0
1553883002,1,1
1553904003,0,3
1553990402,0,3
1554029402,1,1
1554030002,1,1
1554057002,1,1
1554058202,1,0
1554155102,1,1
1554155702,1,1
1554163502,0,2
1554171902,1,1
1554173102,1,1
1554179402,1,1
1554180302,1,0
1554249902,0,1
1554256502,1,1
1554257402,1,1
1554306002,1,1
1554307203,1,0
1554308102,1,0
1554308402,3,0
1554309002,1,0
1554309302,8,0
1554336003,0,2
1554375902,1,1
1554377102,1,1
1554419403,1,1
1554422702,1,1
1554423002,1,0
1554450002,1,1
1554451202,1,0
1554476702,0,1
1554477302,1,0
1554479702,0,1
1554480902,1,0
1554500102,1,1
1554501002,1,1
1554509102,1,1
1554510902,1,1
1554536402,1,1
1554537302,1,1
1554549902,1,1
1554551102,1,1
1554553503,1,1
1554554702,1,1
1554566102,0,1
1554567002,1,0
1554569103,1,1
1554569702,1,0
1554595502,0,1
1554642302,1,1
1554642602,1,1
1554645302,1,1
1554645903,1,0
1554681602,0,1
1554768003,0,2
1554792002,1,1
1554793202,1,1
1554793802,1,1
1554854702,0,2
1554882002,1,1
1554883502,1,1
1554941102,0,2
1554950702,1,1
1554951602,1,1
1555027502,0,2
1555028702,1,1
1555029902,1,1
1555059602,1,1
1555060202,1,1
1555088102,0,1
1555088402,1,0
1555097403,1,1
1555098303,1,1
1555129502,1,1
1555130702,1,1
1555148702,1,1
1555149301,1,1
1555227602,0,1
1555228803,1,0
1555293302,1,1
1555294502,1,1
1555299603,1,1
1555300502,1,0
1555417502,0,1
1555418402,1,0
1555424703,1,1
1555425902,1,1
1555545603,0,1
1555612802,1,1
1555613702,1,0
1555632002,0,1
1555676702,1,1
1555677902,1,1
1555692603,0,1
1555693203,1,0
1555693502,0,1
1555694103,1,0
1555695302,0,1
1555695902,1,0
1555696202,0,1
1555697102,1,0
1555742702,1,1
1555743903,1,1
1555749902,1,1
1555750502,1,1
1555890901,1,1
1555891202,0,1
1555891503,1,1
1555977602,0,1
1556064002,0,1
1556081102,0,1
1556082002,1,0
1556174703,0,1
1556175903,1,0
1556202602,1,1
1556203503,1,0
1556323503,0,1
1556367902,1,1
1556369102,1,0
1556387402,0,1
1556387702,1,0
1556388602,0,1
1556388902,1,0
1556393402,0,1
1556394302,1,0
1556409902,0,1
1556422202,0,1
1556422802,1,0
1556438402,1,1
1556439002,1,1
1556668802,0,1
